username,points,contrib,comment_score,post_score,offchain_tips,funded,voting,pay2post,eligible_comments,eligible_posts,eligibility_reason,multiplier,address
hooftly,5749.3569,6335.6909,5630.3569,0.0,119.0,0.0,0.0,0,1,1,,1.0,0x4CF8e4D37F561815F208565a5b6Ca8a85b143205
bottomtimer_tunafish,5106.7983,5457.4794,402.1683,4952.6299,2.0,0.0,0.0,-250.0,1,1,,1.0,0xcbe8B4E8A16437D94e065A8C3E4797896C228Cee
thecryptos,4983.6299,10254.9301,0.0,4952.6299,31.0,0.0,0.0,0,1,1,,1.0,0x7A69fcEE302318cE0aDFBE506Bc7eC9d2Cd37cC3
snoocalculations1742,3225.3468,3620.3948,3217.3468,0.0,8.0,0.0,0.0,0,1,1,,1.0,0xDcae928B358377FCEEaF6D681dC589300258C8d9
remedyiii,3221.3468,3620.3948,3217.3468,0.0,4.0,0.0,0.0,0,1,1,,1.0,0x47F7f4a47e11e2B252aa9885C36B54cFa3Ce6eC1
hduynam99,3053.7533,3253.2867,0.0,3301.7533,2.0,0.0,0.0,-250.0,1,1,,1.0,0x409067c39029382a5C4d38b75163c5539b25a17a
tahiraslam8k,3047.2258,4889.8263,2454.8356,2476.315,-69.0,0.0,0.0,-500.0,1,1,,0.7032543196704926,0x01761f6FF1CFa8f81FbFC830df947a11a1C34F6D
abcoathup,3014.8909,3308.181,2939.8909,0.0,75.0,0.0,0.0,0,1,1,,1.0,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1
partymsl,2971.3468,3370.3948,3217.3468,0.0,4.0,0.0,0.0,-250.0,1,1,,1.0,0xDCe583535B74c67CA542aFdA1be01Cb5F505BdC5
ice-flght,2828.1784,3167.8454,2815.1784,0.0,13.0,0.0,0.0,0,1,1,,1.0,0xdb45859C25c08a38f2cC04c17a04F76C0FC3191f
supaflyray,2426.0101,2715.2961,2413.0101,0.0,13.0,0.0,0.0,0,1,1,,1.0,0x8Ab192c66797bed6835AF1eB402A38407FC9af3b
oschmosch,2416.0101,2715.2961,2413.0101,0.0,3.0,0.0,0.0,0,1,1,,1.0,0xee5d874557bd88397EE1Cb7E0D950908E4F87111
celmate,2416.0101,2715.2961,2413.0101,0.0,3.0,0.0,0.0,0,1,1,,1.0,0x415680ef2E97cD38CB9A42abd2a1b2812086401a
tserica,2414.0101,2715.2961,2413.0101,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x2dED425b17b63c26bC51C8888466B560717C1Dd8
malixshak,2280.0783,8615.5303,38.5277,12555.7836,17.0,0.0,0.0,-4750.0,1,1,,0.2884992904614929,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f
phatom_user_01,1623.6734,1810.1974,1608.6734,0.0,15.0,0.0,0.0,0,1,1,,1.0,0x49C6e1f7d2A1B346a35939eb8effDd4e7EA47D36
mrjune2040,1615.6734,1810.1974,1608.6734,0.0,7.0,0.0,0.0,0,1,1,,1.0,0xa433d3e9B1390e5691Ace268484b8Ac23120Fad4
towjamb,1610.6734,1810.1974,1608.6734,0.0,2.0,0.0,0.0,0,1,1,,1.0,0x6AA08E1E39958055836F31906C6ff8c072e8C0F3
admirral,1610.6734,1810.1974,1608.6734,0.0,2.0,0.0,0.0,0,1,1,,1.0,0x23930436f8ecBCC18149f68e82E60Eeb7b0aF4D0
cuervo_gris,1610.6734,1810.1974,1608.6734,0.0,2.0,0.0,0.0,0,1,1,,1.0,0x8D66B343b169DEA7F9450c71e933Ac978a0AF52E
olmops,1610.6734,1810.1974,1608.6734,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xCA7d56f69C1321DA5ac0fc68B2433A4B3c4624Dc
ma78l,1610.6734,1810.1974,1608.6734,0.0,2.0,0.0,0.0,0,1,1,,1.0,0x55358E4456aE69A250818ADD1701abad79C3e229
anonuemus,1610.6734,1810.1974,1608.6734,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xBe841BA99b428a3de26d938D6EF7c5df320D91AA
babyshark_77345,1466.6734,1635.7724,1608.6734,0,108.0,0.0,0.0,-250.0,1,0,comments only,1.0,0x4dEA2ff81B67f9D879CD61B17F413ae9bCDD0ee4
drrobbe,1299.6551,1993.4129,1206.505,0.0,93.0,0.0,0.15,0,1,1,,1.0,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
greenwolf_12,1208.505,1357.6481,1206.505,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xe0c5b09eb1616b948103FDa95d69c9b7503a4c15
xennenial,1208.505,1357.6481,1206.505,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xA7B6f89a7da755ab2910f08624FaDfD555cb7BFe
optimalplantintorock,904.3367,905.0987,804.3367,0.0,100.0,0.0,0.0,0,1,1,,1.0,0x02A3faD85168942b4bb5e7B8DDf4a67c543E999a
interpole10,866.2914,962.4367,855.2914,0.0,11.0,0.0,0.0,0,1,1,,1.0,0x0433d140d0F29d05D77a8Ee9f3da24E1A2b73339
ianhawdon,829.3367,905.0987,804.3367,0.0,25.0,0.0,0.0,0,1,1,,1.0,0xF282bccB7FEdA4BaCc84F75478dA84D61980DDab
bapfelbaum,809.3367,905.0987,804.3367,0.0,5.0,0.0,0.0,0,1,1,,1.0,0x94D7923914498FeC496E6F15cC7d30099f204EaC
drdent19,807.3367,905.0987,804.3367,0.0,3.0,0.0,0.0,0,1,1,,1.0,0x9372fE6d14d57988B7EC923815Cc9243B313D532
lexsteel11,806.3367,905.0987,804.3367,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xc8B6ee0463144A18465024E0C7578579c033bB61
tobetobii,806.3367,905.0987,804.3367,0.0,2.0,0.0,0.0,0,1,1,,1.0,0x00b2c3329Bc3209C24774c83A1da9474105E97B0
a_library_socialist,806.3367,905.0987,804.3367,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xF2aBF64Ad7690EFADc6025b295Ffab9452ffa585
italianmast3rm1n4,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x1a0D43f3af7aaC5d871220F2Da410bDd8AB44c5a
grannyte,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x79AFF8CcFD94B6ca2041aFbAB3027b7E0DD330De
torofukatasu,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x76FbFa5e4D88Ab07174677158b6d7aB48e71eeF8
roy1984,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546
wtwiv,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xeaa67d7ee6Ad69D6734b6a82019985eDd3c8e476
vivarevo,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01
sapfromtrees,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x033d55aCB497251A97aB5f033dcB25EC42F41313
megselepgeci,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xe0ADe6c4900d80Abd8cc8C462F8F9F586b5Cd065
shinepdx,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x2ef2C68279e95809607A6a680da77e80556e5c2E
blueberry_dependent,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x32967df08d9E13121b057e9f72748f1b03603D23
clean_cut89,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xA7849028c7f37B092BA2CC13365F72A2AF9f0880
foreignger,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x3E0231812cA1b81c180DA4537B8F2eb4Df380e32
j-96788-eu,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x2AAB3E4A213052C648A6331d28d5e0F3abD6C167
macktologist,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x3893362B4B8A62889529F5dD4ffA161433f793D0
cm19901,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x676eDd42FcB0dC9852036cf6eCa52d3BE9204DFb
na7oul,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x53D0F1e389548BF97A5c7Dd5715b2bDA7A2E83FE
aroundforeveryone,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xF5E65307ecE78127C23542162266f14e87978486
leviathynx,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x8843763575BCC72CafD54314FfBd64D7b0463E1a
abysskitten,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x44c40501f71050116Cc687acAEC0CE7798D69331
somsanite7,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xB6138935133f6E4176999bd0819c6127E64C8012
final_lionel,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xddeF3dca5B27622e53Bad51569db8f3F72EDd1F8
nagemasu,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x91d08fd2D95C18012859ca068DA9445E61B9f64a
lulepu,805.3367,905.0987,804.3367,0,1.0,0.0,0.0,0,1,0,comments only,1.0,0x651B6332Df533708Ae4a25df73b93927AddD9083
lady_lucks_man,805.3367,905.0987,804.3367,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xc61415Bd8e64334c9686f750b427D6Eedb86925a
